date,Apple
10/1/2016 0:00,94
10/1/2016 1:00,93
10/1/2016 2:00,90
10/1/2016 3:00,85
10/1/2016 4:00,78
10/1/2016 5:00,72
10/1/2016 6:00,71
10/1/2016 7:00,71
10/1/2016 8:00,72
10/1/2016 9:00,72
10/1/2016 10:00,74
10/1/2016 11:00,77
10/1/2016 12:00,83
10/1/2016 13:00,89
10/1/2016 14:00,92
10/1/2016 15:00,94
10/1/2016 16:00,94
10/1/2016 17:00,94
10/1/2016 18:00,96
10/1/2016 19:00,97
10/1/2016 20:00,99
10/1/2016 21:00,99
10/1/2016 22:00,100
10/1/2016 23:00,97
10/2/2016 0:00,97
10/2/2016 1:00,94
10/2/2016 2:00,92
10/2/2016 3:00,85
10/2/2016 4:00,79
10/2/2016 5:00,71
10/2/2016 6:00,68
10/2/2016 7:00,68
10/2/2016 8:00,69
10/2/2016 9:00,70
10/2/2016 10:00,71
10/2/2016 11:00,74
10/2/2016 12:00,79
10/2/2016 13:00,85
10/2/2016 14:00,89
10/2/2016 15:00,92
10/2/2016 16:00,93
10/2/2016 17:00,94
10/2/2016 18:00,95
10/2/2016 19:00,96
10/2/2016 20:00,95
10/2/2016 21:00,95
10/2/2016 22:00,93
10/2/2016 23:00,92
10/3/2016 0:00,93
10/3/2016 1:00,91
10/3/2016 2:00,88
10/3/2016 3:00,79
10/3/2016 4:00,72
10/3/2016 5:00,66
10/3/2016 6:00,62
10/3/2016 7:00,62
10/3/2016 8:00,64
10/3/2016 9:00,64
10/3/2016 10:00,64
10/3/2016 11:00,64
10/3/2016 12:00,67
10/3/2016 13:00,70
10/3/2016 14:00,73
10/3/2016 15:00,77
10/3/2016 16:00,77
10/3/2016 17:00,78
10/3/2016 18:00,80
10/3/2016 19:00,83
10/3/2016 20:00,86
10/3/2016 21:00,88
10/3/2016 22:00,89
10/3/2016 23:00,93
10/4/2016 0:00,94
10/4/2016 1:00,90
10/4/2016 2:00,85
10/4/2016 3:00,77
10/4/2016 4:00,71
10/4/2016 5:00,65
10/4/2016 6:00,62
10/4/2016 7:00,62
10/4/2016 8:00,63
10/4/2016 9:00,62
10/4/2016 10:00,63
10/4/2016 11:00,63
10/4/2016 12:00,66
10/4/2016 13:00,69
10/4/2016 14:00,72
10/4/2016 15:00,74
10/4/2016 16:00,75
10/4/2016 17:00,77
10/4/2016 18:00,78
10/4/2016 19:00,80
10/4/2016 20:00,83
10/4/2016 21:00,85
10/4/2016 22:00,85
10/4/2016 23:00,86
10/5/2016 0:00,91
10/5/2016 1:00,83
10/5/2016 2:00,80
10/5/2016 3:00,75
10/5/2016 4:00,69
10/5/2016 5:00,64
